연번,구분,접수일,검토요청기관,과제번호,신청자,제목,검토부서,검토결과
1,신속확인,2022-01-05,한국산업기술진흥원,A2022004,에프알티,근력지원 웨어러블 로봇,신기술개인정보과,질의답변
2,신속확인,2022-01-06,한국산업기술진흥원,A2022003,이튜,블록체인 및 클라우드 기반 치아 보철물 의뢰 제작 서비스,"개인정보보호정책과,신기술개인정보과",법령상금지
3,신속확인,2022-01-06,한국산업기술진흥원,A2022008,드림씨엔지,자율주행 청소로봇,신기술개인정보과,법령상금지
4,신속확인,2022-01-06,한국산업기술진흥원,A2022009,라스테크,자율주행 안내로봇,신기술개인정보과,법령상금지
5,신속확인,2022-01-07,과학기술정보통신부,,유니유니,비식별화 안심스마트 기기,"개인정보보호정책과,신기술개인정보과",질의답변
6,신속확인,2022-01-10,한국산업기술진흥원,A2022012,서큘러스,AI 돌봄 로봇,개인정보보호정책과,질의답변
7,신속확인,2022-01-26,한국산업기술진흥원,A2022026,토마토크루,근적외선을 이용한 비침습식 자가 혈당 측정기,개인정보보호정책과,질의답변
8,신속확인,2022-01-28,과학기술정보통신부,,지오멕스소프트,관광지 와이드 파노라마 뷰 스트리밍 서비스,신기술개인정보과,법령상금지
9,신속확인,2022-02-03,한국산업기술진흥원,A2022031,대영채비,로봇을 이용한 전기차용 자동화 충전시스템,신기술개인정보과,법령상금지
10,신속확인,2022-02-17,한국산업기술진흥원,A2022036,세븐미어캣,인공지능 스마트 주차관제시스템 기반 아파트 주차장 유료화 서비스,신기술개인정보과,규제없음
11,신속확인,2022-02-24,과학기술정보통신부,,엘케이텍,모빌리티용 스마트 전조등,신기술개인정보과,질의답변
12,신속확인,2022-03-08,한국산업기술진흥원,A2022043,케이티,KT AI 방역로봇,신기술개인정보과,법령상금지
13,신속확인,2022-03-10,과학기술정보통신부,,자란다,"빅데이터, 머신러닝 기반 매칭 알고리즘을 통한 유·아동 대상 방문 교육 서비스",개인정보보호정책과,기타의견
14,신속확인,2022-03-17,과학기술정보통신부,,소용뱀,신분증 대조를 위한 FACE 인증 기술 활용 주류 비대면 온라인 판매,개인정보보호정책과,기타의견
15,신속확인,2022-03-30,한국산업기술진흥원,A2022051,유스비,비대면 본인인증 기술을 통해 온라인 맥주 구매 플랫폼,개인정보보호정책과,기타의견
16,신속확인,2022-04-19,한국산업기술진흥원,A2022065,플랙스,"비대면 심리상담 진료, 치료 서비스",개인정보보호정책과,질의답변
17,신속확인,2022-04-25,과학기술정보통신부,,엘엔디씨,부동산과 소유주의 토지개발 의향 정보가 함께 등록되는 부동산개발 중개 플랫폼,개인정보보호정책과,허가등 불필요
18,신속확인,2022-04-27,한국산업기술진흥원,A2022067,움틀,"체외 신속진단키트와 리더, 앱으로 연동되는 맞춤형 자가진단 제품 및 구독서비스",개인정보보호정책과,질의답변
19,신속확인,2022-05-10,한국산업기술진흥원,,주식회사 파이엇,센서 융합기술을 활용한 라스트 마일 배송 로봇 - 딜리파이,신기술개인정보과,법령상금지
20,실증특례,2022-04-01,과학기술정보통신부,,IR큐더스·KT·나이스평가정보,주주 모바일알림 서비스,신기술개인정보과,불수용
21,신속확인,2022-01-13,과학기술정보통신부,,SKT,AI 안면인식 기술을 활용한 비대면 성인인증 서비스,신기술개인정보과,허가등 불필요
22,실증특례,2022-01-04,과학기술정보통신부,,우아한형제들,자율주행 배달로봇 서비스,신기술개인정보과,조건부수용
23,실증특례,2022-02-03,한국산업기술진흥원,,로보티즈,실외 자율주행 로봇,신기술개인정보과,조건부수용
24,실증특례,2022-01-27,산업통상자원부,,애드,AI를 활용한 디지털 광고효과 측정,신기술개인정보과,조건부수용
25,실증특례,2022-02-07,산업통상자원부,,인티그리트,자율주행 방역탐지 안내로봇,신기술개인정보과,불수용
26,실증특례,2022-02-17,산업통상자원부,,아르고스다인,공공치안용 무인 드론,신기술개인정보과,불수용
27,신속확인,2022-03-02,중소벤처기업부 규제자유특구기획단 ,,오썸피아,제주 메타버스 관광,신기술개인정보과,법령상금지
