구분,서울,부산,대구,인천,광주,대전,세종,울산,경기,강원,충북,충남,경북,경남,전북,전남,제주
1982,164485,58213,30237,12721,0,0,0,0,52440,36511,33321,50822,44853,71623,52013,50343,9972
1983,174243,49635,35619,19160,0,0,0,0,48937,38315,27045,54851,41709,72818,46819,50932,9650
1984,174575,50993,36469,20701,0,0,0,0,51242,38305,27199,56316,42286,72980,48047,52978,10190
1985,181766,53232,33941,19451,0,0,0,0,54434,39902,27655,56512,42422,73760,49043,54541,10292
1986,181631,53478,33168,16509,22538,0,0,0,64350,41357,28527,57443,43494,52014,54175,57327,10618
1987,189997,55621,33781,18915,22435,0,0,0,68013,41705,28390,57195,43040,53857,54644,59123,10972
1988,199768,57571,35152,20403,23673,0,0,0,69551,42288,28957,59091,44062,55712,57473,62128,11294
1989,206952,58605,32945,21918,22389,23723,0,0,85147,45684,33390,38429,45397,57399,61647,64529,11915
1990,210022,61530,34615,23446,23250,30279,0,0,91538,46839,34461,39673,46444,58499,62949,67288,12429
1991,217450,64206,37161,25995,25169,32279,0,0,99859,47870,35926,41293,48418,60124,64754,70989,13155
1992,223070,64841,39553,28194,27137,29225,0,0,107235,49395,38699,47506,50337,61176,66187,75869,13674
1993,226436,65797,39962,29223,27231,30279,0,0,112492,50263,38138,48249,51093,61732,67362,77345,14072
1994,225604,65056,40247,31992,27528,30853,0,0,117486,50221,38707,48730,50607,61422,67286,78143,14269
1995,226407,66808,39189,34763,26609,29279,0,0,120977,50112,38923,50299,51025,62216,69748,77021,14506
1996,228131,67850,39216,36379,26824,29666,0,0,126492,50435,39138,51068,51061,62043,70713,77499,14788
1997,230396,67975,40507,38405,27105,29596,0,14257,129622,50978,39754,50946,51518,61456,68823,65448,14973
1998,219128,65386,39255,38283,26491,32776,0,14442,128248,48971,38189,49125,49098,59256,66107,62878,14521
1999,217674,63814,37535,37071,24850,32448,0,14267,125198,44907,33798,42277,46477,57139,62849,59636,13951
2000,216042,62987,39187,36695,25949,32337,0,15479,128475,43902,34475,42024,46313,53965,59174,58277,13874
2001,208820,63279,45982,40427,25242,40745,0,15913,134777,44533,33448,34708,52131,58086,46633,54479,13989
2002,209251,64239,46904,41680,25594,41580,0,16418,142430,45144,34101,35219,52651,59644,46967,54817,14196
2003,209788,64546,47822,43426,26157,40318,0,17209,149460,45625,35839,36972,53214,60738,47307,54727,14468
2004,211463,64445,48656,44870,26981,40345,0,17901,155529,46157,36594,37969,53074,63522,47455,54772,14860
2005,214138,66210,51429,46278,28612,42405,0,18561,161200,46627,36179,39427,52266,65178,47947,54529,15353
2006,216855,67014,52752,48547,29927,41489,0,19316,167398,47932,36738,42297,53149,66736,48564,54667,15764
2007,218526,66754,53101,49875,30309,42416,0,19629,173199,47973,37098,42551,53547,67492,48682,54706,15913
2008,219090,66054,53297,50984,30496,42495,0,19757,179951,47748,37356,43023,53143,67659,48420,54575,16208
2009,224292,66717,54193,51922,31420,45090,0,19940,184389,47955,36821,42780,53767,68429,48943,55025,16214
2010,220472,69221,54470,51261,32668,45435,0,19815,190591,48316,37744,43651,53195,67128,48725,53432,16283
2011,219507,69634,50906,51109,33202,42468,0,19952,194161,48523,38121,47778,57139,67209,48961,52884,16404
2012,219079,69681,51258,51363,33610,42943,8112,20231,191105,48650,38487,45900,57154,68161,49074,52989,16675
2013,218164,70708,52400,51142,34501,44706,8504,20299,195983,48838,38669,45832,56689,67517,48600,53348,16710
2014,215402,71172,58062,50569,37167,49080,16705,20011,196320,47554,38095,45176,54723,64894,47663,52042,16512
2015,214256,71301,58663,51021,37513,51805,17955,20276,197883,48301,38627,45707,55341,65803,49192,52439,16955
2016,213532,71611,58667,51333,37570,52248,20753,20572,201810,48928,39503,46660,57980,66965,49648,52924,17268
2017,215234,71838,59653,51848,37846,52389,21337,20728,205988,49244,40050,47394,58265,67591,49808,53524,17721
2018,220977,73705,61117,54289,38959,52297,23490,21563,217553,50830,41438,50091,59587,69882,51161,54899,18748
2019,225529,74759,62324,59065,39475,52561,27522,22028,223505,51858,42582,51796,61235,71845,52787,56851,19329
2020,229543,75619,62681,60458,40196,53064,29661,22583,229299,52755,43929,53263,62702,73246,54103,58294,19926
2021,239095,77164,63959,63343,41086,52270,32271,23433,237594,54630,45530,55387,64549,74890,55675,60647,19898
