구분,계,전년대비증감율,정무직,별정직(국가),별정직(지방),일반직(국가),일반직(지방),경찰소방,교육직,법관검사,기능직,고용직,공안직,군무원,연구직,지도직,계약직,공중보건의,기타
1982,667554,0,0,119,0,100100,121695,77888,197387,1026,66204,95938,0,0,0,0,0,0,7197
1983,669733,0.33,0,13707,0,94836,100704,69947,206296,1022,59395,97317,0,0,0,0,0,0,26509
1984,682281,1.87,0,23861,0,127588,78087,69045,212423,1157,55878,102491,0,0,0,0,0,0,11751
1985,696951,2.15,0,27501,0,97381,115637,72061,220190,1336,55453,104648,0,0,0,0,0,0,2744
1986,716629,2.82,0,29224,0,87803,116718,77307,228283,1468,54589,107501,0,0,0,0,0,0,13736
1987,737688,2.94,0,30877,0,82748,121775,75323,237625,1506,48681,110988,0,0,0,0,0,0,28165
1988,767123,3.99,0,31335,0,88248,143948,78511,245071,1633,67483,99546,0,0,0,0,0,0,11348
1989,810069,5.6,0,31991,0,90683,138603,81163,259266,1720,140701,39972,0,0,0,0,0,0,25970
1990,843262,4.1,0,32588,0,94228,145159,88677,267337,1816,158090,28672,0,0,0,0,0,0,26695
1991,884648,4.91,0,32599,0,75688,158464,96212,272337,1871,181356,14126,0,0,0,0,0,0,51995
1992,922098,4.23,0,36624,0,76971,170681,103846,276526,1980,190278,11368,0,0,0,0,0,0,53824
1993,939674,1.91,0,35679,0,77414,175958,106788,278808,2036,195259,10927,0,0,0,0,0,0,56805
1994,948151,0.9,0,37598,0,76133,179921,108037,282538,2120,195263,10429,0,0,0,0,0,0,56112
1995,957882,1.03,0,35994,0,75364,185362,111057,284185,2193,197112,9903,0,0,0,0,0,0,56712
1996,971303,1.4,0,35755,0,76773,191805,113801,285961,2334,197907,9094,0,0,0,0,0,0,57873
1997,981759,1.08,0,35627,0,77895,196307,117536,288708,2461,196655,8786,0,0,0,0,0,0,57784
1998,952154,-3.02,0,33405,0,79416,185386,116360,287607,2562,183865,7681,0,0,0,0,0,0,55872
1999,913891,-4.02,0,32325,0,81277,172696,117520,276021,2649,169580,6413,0,0,0,0,0,0,55410
2000,909155,-0.52,0,28653,0,73741,179863,120457,280158,2793,162159,5533,0,0,0,0,0,0,55798
2001,913192,0.44,1678,3624,4655,74274,180708,129185,288439,2985,156993,4496,26414,19732,5493,5109,2334,3691,3382
2002,930835,1.93,1703,3014,3995,74187,184036,131154,300474,3204,155048,4071,26935,20483,5670,5089,2544,4077,5151
2003,947616,1.8,1694,3178,3806,74905,187751,121763,312700,3412,153385,3427,27402,20187,5788,5080,2806,4642,15690
2004,964593,1.79,1932,3127,3730,72901,197494,124525,323689,3569,148131,1863,28331,20047,6024,5082,3469,5141,15538
2005,986339,2.25,1916,3108,3626,73725,207654,128406,331394,3665,146997,56,28834,20332,6340,5149,4100,5173,15864
2006,1009145,2.31,1938,4919,3586,75362,214333,131010,340679,3798,145568,3,30391,19744,6874,5059,4758,5027,16096
2007,1021771,1.25,1906,5036,3665,79024,214373,132541,347961,3935,143354,1,31415,19751,7208,5028,5650,4760,16163
2008,1030256,0.83,1905,5027,3651,82095,215873,135302,350715,4057,140462,0,31773,19780,7222,4904,6010,5020,16460
2009,1047897,1.71,1871,4332,3648,85652,220164,140055,354943,4177,139677,0,32875,20310,7316,4722,6297,5281,16577
2010,1052407,0.43,2221,4220,3321,90180,217734,143913,356336,4336,135240,0,33888,20362,7548,4661,6528,5182,16737
2011,1057958,0.53,150,7676,0,315207,0,145798,357271,4442,131336,0,33660,20220,7723,4650,7026,4556,18243
2012,1064472,0.62,144,6007,0,328206,0,149018,357528,4606,120128,0,34761,21423,7899,4613,7718,4062,18359
2013,1072610,0.76,144,3060,0,392690,0,151042,360218,4717,37521,0,35666,21402,8198,4613,8463,3889,40987
2014,1081147,0.8,148,2155,0,424150,0,155696,362587,4837,7131,0,35657,21008,8340,4519,8849,3802,42268
2015,1093038,1.9,148,1942,0,429242,0,161663,363092,4933,6326,0,36400,21712,8657,4548,8611,3634,42130
2016,1107972,1.37,139,1705,0,436636,0,167443,365809,5025,4637,0,36228,22024,8851,4604,9308,3493,42070
2017,1120458,1.13,142,1649,0,444293,0,171717,367009,5144,3741,0,35029,22158,9106,4613,9754,3625,42478
2018,1160586,4,146,1756,0,455878,0,177871,371024,5157,991,0,35970,24147,9391,4648,11291,3544,58772
2019,1195051,2.97,141,1736,0,467747,0,188473,373114,5197,674,0,36791,26214,9722,4715,13517,3547,63463
2020,1221322,2.2,145,1612,0,479562,0,194595,375767,5326,353,0,36856,28856,10148,4779,14743,3494,65086
2021,1261421,3.28,179,1604,0,500652,0,202998,377849,5430,158,0,37366,33976,10694,4861,15112,3525,67017
2021남,655619,0,165,1080,0,251259,0,177775,104798,3628,90,0,27660,25554,5612,2736,8544,3525,43193
2021여,605802,0,14,524,0,249393,0,25223,273051,1802,68,0,9706,8422,5082,2125,6568,0,23824
