시군명,읍면동명,등록동물수(마리),(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록소유자수,데이터기준일자,,,,
가평군,가평읍,941,596,294,51,85,2022-06-14,,,,
가평군,북면,289,176,93,20,185,2022-06-14,,,,
가평군,상면,399,217,153,29,243,2022-06-14,,,,
가평군,설악면,1111,446,612,53,625,2022-06-14,,,,
가평군,조종면,416,218,161,37,274,2022-06-14,,,,
가평군,청평면,861,517,253,91,594,2022-06-14,,,,
고양시,가좌동,1354,848,348,158,952,2022-06-03,,,,
고양시,강매동,63,57,5,1,30,2022-06-03,,,,
고양시,고양동,1577,968,510,99,1182,2022-06-03,,,,
고양시,관산동,1184,672,442,70,855,2022-06-03,,,,
고양시,구산동,152,97,42,13,90,2022-06-03,,,,
고양시,내곡동,84,54,25,5,55,2022-06-03,,,,
고양시,내유동,1233,719,433,81,846,2022-06-03,,,,
고양시,대자동,165,86,64,15,119,2022-06-03,,,,
고양시,대장동,112,67,38,7,76,2022-06-03,,,,
고양시,대화동,3964,2619,1112,233,2950,2022-06-03,,,,
고양시,덕은동,177,81,86,10,115,2022-06-03,,,,
고양시,덕이동,2546,1513,899,134,1697,2022-06-03,,,,
고양시,도내동,1013,558,413,42,779,2022-06-03,,,,
고양시,동산동,1315,719,518,78,716,2022-06-03,,,,
고양시,마두동,2878,1884,857,137,2296,2022-06-03,,,,
고양시,문봉동,138,76,54,8,91,2022-06-03,,,,
고양시,백석동,4380,2764,1343,273,3231,2022-06-03,,,,
고양시,법곳동,124,82,30,12,82,2022-06-03,,,,
고양시,벽제동,253,167,74,12,142,2022-06-03,,,,
고양시,북한동,6,1,4,1,4,2022-06-03,,,,
고양시,사리현동,503,262,202,39,346,2022-06-03,,,,
고양시,산황동,29,19,8,2,21,2022-06-03,,,,
고양시,삼송동,1307,681,532,94,941,2022-06-03,,,,
고양시,선유동,84,64,19,1,22,2022-06-03,,,,
고양시,설문동,283,176,90,17,154,2022-06-03,,,,
고양시,성사동,2021,1175,776,70,1553,2022-06-03,,,,
고양시,성석동,1054,662,312,80,644,2022-06-03,,,,
고양시,식사동,2919,1613,1117,189,2244,2022-06-03,,,,
고양시,신원동,1181,603,513,65,903,2022-06-03,,,,
고양시,신평동,17,11,4,2,8,2022-06-03,,,,
고양시,오금동,126,64,57,5,86,2022-06-03,,,,
고양시,용두동,150,71,61,18,90,2022-06-03,,,,
고양시,원당동,130,81,45,4,85,2022-06-03,,,,
고양시,원흥동,1190,626,492,72,867,2022-06-03,,,,
고양시,일산동,5115,3274,1547,294,3968,2022-06-03,,,,
고양시,장항동,3771,2264,1265,242,2609,2022-06-03,,,,
고양시,정발산동,1963,1264,578,121,1456,2022-06-03,,,,
고양시,주교동,1346,812,489,45,1015,2022-06-03,,,,
고양시,주엽동,3668,2282,1197,189,2942,2022-06-03,,,,
고양시,중산동,3170,2015,913,242,2435,2022-06-03,,,,
고양시,지영동,53,34,17,2,38,2022-06-03,,,,
고양시,지축동,456,255,173,28,318,2022-06-03,,,,
고양시,탄현동,3664,2312,1067,285,2861,2022-06-03,,,,
고양시,토당동,2610,1988,534,88,1628,2022-06-03,,,,
고양시,풍동,2755,1763,795,197,2133,2022-06-03,,,,
고양시,행신동,5756,3780,1683,293,4620,2022-06-03,,,,
고양시,행주내동,81,53,19,9,60,2022-06-03,,,,
고양시,행주외동,52,29,11,12,33,2022-06-03,,,,
고양시,향동동,609,315,254,40,477,2022-06-03,,,,
고양시,현천동,120,54,48,18,67,2022-06-03,,,,
고양시,화전동,234,128,86,20,152,2022-06-03,,,,
고양시,화정동,4312,2778,1351,183,3476,2022-06-03,,,,
