연번,군구,읍면동(법정동),동물등록건수,집계시점,기준일자
1,중구,경동,72,2009-01-01,2021-10-29
2,중구,내동,87,2009-01-01,2021-10-29
3,중구,답동,74,2009-01-01,2021-10-29
4,중구,사동,37,2009-01-01,2021-10-29
5,중구,용동,33,2009-01-01,2021-10-29
6,중구,유동,30,2009-01-01,2021-10-29
7,중구,전동,189,2009-01-01,2021-10-29
8,중구,남북동,49,2009-01-01,2021-10-29
9,중구,덕교동,11,2009-01-01,2021-10-29
10,중구,도원동,282,2009-01-01,2021-10-29
11,중구,무의동,15,2009-01-01,2021-10-29
12,중구,선린동,22,2009-01-01,2021-10-29
13,중구,선화동,60,2009-01-01,2021-10-29
14,중구,신생동,70,2009-01-01,2021-10-29
15,중구,신포동,32,2009-01-01,2021-10-29
16,중구,운남동,945,2009-01-01,2021-10-29
17,중구,운북동,377,2009-01-01,2021-10-29
18,중구,운서동,1644,2009-01-01,2021-10-29
19,중구,율목동,173,2009-01-01,2021-10-29
20,중구,을왕동,107,2009-01-01,2021-10-29
21,중구,인현동,99,2009-01-01,2021-10-29
22,중구,중산동,1992,2009-01-01,2021-10-29
23,중구,관동1가,22,2009-01-01,2021-10-29
24,중구,관동2가,12,2009-01-01,2021-10-29
25,중구,관동3가,17,2009-01-01,2021-10-29
26,중구,항동1가,9,2009-01-01,2021-10-29
27,중구,항동5가,1,2009-01-01,2021-10-29
28,중구,항동7가,494,2009-01-01,2021-10-29
29,중구,북성동1가,138,2009-01-01,2021-10-29
30,중구,북성동2가,95,2009-01-01,2021-10-29
31,중구,북성동3가,37,2009-01-01,2021-10-29
32,중구,송월동1가,276,2009-01-01,2021-10-29
33,중구,송월동2가,31,2009-01-01,2021-10-29
34,중구,송월동3가,64,2009-01-01,2021-10-29
35,중구,송학동1가,5,2009-01-01,2021-10-29
36,중구,송학동2가,23,2009-01-01,2021-10-29
37,중구,송학동3가,41,2009-01-01,2021-10-29
38,중구,신흥동1가,265,2009-01-01,2021-10-29
39,중구,신흥동2가,185,2009-01-01,2021-10-29
40,중구,신흥동3가,352,2009-01-01,2021-10-29
41,중구,중앙동1가,2,2009-01-01,2021-10-29
42,중구,중앙동2가,3,2009-01-01,2021-10-29
43,중구,중앙동3가,15,2009-01-01,2021-10-29
44,중구,중앙동4가,10,2009-01-01,2021-10-29
45,중구,해안동2가,6,2009-01-01,2021-10-29
46,중구,해안동3가,1,2009-01-01,2021-10-29
47,중구,해안동4가,1,2009-01-01,2021-10-29
