,기관명,홈페이지주소,오픈일자,오픈연도
0,충청북도,http://www.chungbuk.go.kr,2008-08-11,2008 연도
1,문화체육관광부,http://www.mcst.go.kr,2008-08-22,2008 연도
2,산림청 기획조정관 정보통계담당관,http://www.forest.go.kr,2008-08-22,2008 연도
3,중소기업청,http://www.smba.go.kr,2008-08-25,2008 연도
4,여성가족부,http://www.mogef.go.kr,2008-08-26,2008 연도
5,환경부,http://www.me.go.kr,2008-08-26,2008 연도
6,노동부 기획조정실 국제협력관 정보화기획팀,http://www.moel.go.kr,2008-08-26,2008 연도
7,경찰청,http://www.police.go.kr,2008-08-29,2008 연도
8,문화재청,http://www.cha.go.kr,2008-08-29,2008 연도
9,조달청,http://www.pps.go.kr,2008-08-29,2008 연도
10,법무부,http://www.moj.go.kr,2008-09-02,2008 연도
11,행정중심복합도시건설청,http://www.macc.go.kr,2008-09-04,2008 연도
12,법제처,http://www.moleg.go.kr,2008-09-08,2008 연도
13,광주광역시,http://www.gwangju.go.kr,2008-09-08,2008 연도
14,외교통상부,http://www.mofa.go.kr,2008-09-09,2008 연도
15,통일부,http://www.unikorea.go.kr,2008-09-16,2008 연도
16,병무청,http://www.mma.go.kr,2008-09-18,2008 연도
17,전라남도,http://www.jeonnam.go.kr,2008-09-18,2008 연도
18,부산광역시,http://www.busan.go.kr,2008-09-18,2008 연도
19,통계청 통계정보국 정보서비스과,http://kostat.go.kr,2008-09-18,2008 연도
20,농림수산식품부,http://www.mafra.go.kr,2008-09-18,2008 연도
21,국토해양부 대변인 홍보담당관,http://www.molit.go.kr,2008-09-22,2008 연도
22,전라북도,http://www.jeonbuk.go.kr,2008-09-24,2008 연도
23,농촌진흥청,http://www.rda.go.kr,2008-10-01,2008 연도
24,인천광역시,http://www.incheon.go.kr,2008-10-09,2008 연도
25,경상북도,http://www.gb.go.kr,2008-10-13,2008 연도
26,방위사업청 전산정보관리소 정보개발팀,http://www.dapa.go.kr,2008-10-16,2008 연도
27,특허청,http://www.kipo.go.kr,2008-10-18,2008 연도
28,제주특별자치도,http://www.jeju.go.kr,2008-10-20,2008 연도
29,대구광역시,http://www.daegu.go.kr,2008-10-21,2008 연도
30,보건복지가족부,http://www.mohw.go.kr,2008-10-23,2008 연도
31,강원도,http://www.provin.gangwon.kr,2008-10-27,2008 연도
32,대구서구청,http://www.seogu.daegu.kr,2008-11-03,2008 연도
33,충청남도 서천군,http://www.seocheon.go.kr,2008-11-03,2008 연도
