"기관명","홈페이지주소","오픈일자"
"충청북도","http://www.chungbuk.go.kr","2008-08-11"
"문화체육관광부","http://www.mcst.go.kr","2008-08-22"
"산림청 기획조정관 정보통계담당관","http://www.forest.go.kr","2008-08-22"
"중소기업청","http://www.smba.go.kr","2008-08-25"
"여성가족부","http://www.mogef.go.kr","2008-08-26"
"환경부","http://www.me.go.kr","2008-08-26"
"노동부 기획조정실 국제협력관 정보화기획팀","http://www.moel.go.kr","2008-08-26"
"경찰청","http://www.police.go.kr","2008-08-29"
"문화재청","http://www.cha.go.kr","2008-08-29"
"조달청","http://www.pps.go.kr","2008-08-29"
"법무부","http://www.moj.go.kr","2008-09-02"
"행정중심복합도시건설청","http://www.macc.go.kr","2008-09-04"
"법제처","http://www.moleg.go.kr","2008-09-08"
"광주광역시","http://www.gwangju.go.kr","2008-09-08"
"외교통상부","http://www.mofa.go.kr","2008-09-09"
"통일부","http://www.unikorea.go.kr","2008-09-16"
"병무청","http://www.mma.go.kr","2008-09-18"
"전라남도","http://www.jeonnam.go.kr","2008-09-18"
"부산광역시","http://www.busan.go.kr","2008-09-18"
"통계청 통계정보국 정보서비스과","http://kostat.go.kr","2008-09-18"
"농림수산식품부","http://www.mafra.go.kr","2008-09-18"
"국토해양부 대변인 홍보담당관","http://www.molit.go.kr","2008-09-22"
"전라북도","http://www.jeonbuk.go.kr","2008-09-24"
"농촌진흥청","http://www.rda.go.kr","2008-10-01"
"인천광역시","http://www.incheon.go.kr","2008-10-09"
"경상북도","http://www.gb.go.kr","2008-10-13"
"방위사업청 전산정보관리소 정보개발팀","http://www.dapa.go.kr","2008-10-16"
"특허청","http://www.kipo.go.kr","2008-10-18"
"제주특별자치도","http://www.jeju.go.kr","2008-10-20"
"대구광역시","http://www.daegu.go.kr","2008-10-21"
"보건복지가족부","http://www.mohw.go.kr","2008-10-23"
"강원도","http://www.provin.gangwon.kr","2008-10-27"
"대구서구청","http://www.seogu.daegu.kr","2008-11-03"
"충청남도 서천군","http://www.seocheon.go.kr","2008-11-03"
"경상북도 김천시","http://www.gimcheon.go.kr","2008-11-05"
"민주평화통일자문회의 사무처","http://www.nuac.go.kr","2008-11-05"
"전라남도 구례군","http://www.gurye.go.kr","2008-11-06"
"충청남도 청양군","http://www.cheongyang.go.kr","2008-11-10"
"국방부 공군중전소","http://www.airforce.mil.kr","2008-11-10"
"공정거래위원회","http://www.ftc.go.kr","2008-11-18"
"감사원","http://www.bai.go.kr","2008-11-20"
"경남지방경찰청","http://www.gnpolice.go.kr","2008-11-24"
"경상북도 울릉군","http://www.ulleung.go.kr","2008-11-28"
"대구경북경제자유구역청","http://www.dgfez.go.kr","2008-11-28"
"대전광역시 유성구","http://www.yuseong.go.kr","2008-11-28"
"서울특별시 영등포구","http://www.ydp.go.kr","2008-11-28"
"대구광역시 교통정책과","http://carfree.daegu.go.kr","2008-12-02"
"국토해양부 대변인 홍보담당관","http://acc.molit.go.kr","2008-12-02"
"국토해양부 철도공안사무소","http://police.molit.go.kr","2008-12-02"
"국토해양부 대변인 홍보담당관","http://pcmo.molit.go.kr","2008-12-02"
"국토해양부 대변인 홍보담당관","http://dcmo.molit.go.kr","2008-12-02"
"국토해양부 대변인 홍보담당관","http://wcmo.molit.go.kr","2008-12-02"
"국토해양부 대변인 홍보담당관","http://scmo.molit.go.kr","2008-12-02"
"부경대학교","http://www.pknu.ac.kr","2008-12-03"
"부산광역시 수영구","http://www.suyeong.go.kr","2008-12-03"
"국토해양부 대변인 홍보담당관","http://icmo.molit.go.kr","2008-12-03"
"경상남도 진주시","http://www.jinju.go.kr","2008-12-03"
"경상남도 거제시","http://www.geoje.go.kr","2008-12-04"
"경상남도 함양군","http://www.hygn.go.kr","2008-12-04"
"국토해양부 대변인 홍보담당관","http://clt.molit.go.kr","2008-12-04"
"서울특별시남부교육청","http://www.nambuedu.seoul.kr","2008-12-04"
"경찰청 부산광역시지방경찰청 정보통신담당관","http://www.bspolice.go.kr","2008-12-05"
"지식경제부 우정사업본부 우정사업정보센터","http://www.epost.go.kr","2008-12-05"
"경상북도 문경교육청","http://www.kbmge.go.kr","2008-12-08"
"경상북도 봉화군","http://www.bonghwa.go.kr","2008-12-08"
"대구광역시 서구","http://www.dgs.go.kr","2008-12-09"
"충청북도 충주시","http://www.chungju.go.kr(중복도메인)","2008-12-10"
"대구광역시 대구소방본부","http://119.daegu.go.kr","2008-12-10"
